Algorithm,Size,Type,Time(ms)
Insertion,50,ReverseFloat,0.1441999338567257
Selection,50,ReverseFloat,0.07699988782405853
Merge,50,ReverseFloat,0.07810001261532307
Quick,50,ReverseFloat,0.05440018139779568
Heap,50,ReverseFloat,0.08629984222352505
3-Way Merge,50,ReverseFloat,0.09929994121193886
Cycle,50,ReverseFloat,0.12700003571808338
Timsort,50,ReverseFloat,0.01300009898841381
Bubble,50,RandomString,0.18259999342262745
Insertion,50,RandomString,0.10349997319281101
Selection,50,RandomString,0.10930001735687256
Merge,50,RandomString,0.11610006913542747
Quick,50,RandomString,0.09109987877309322
Heap,50,RandomString,0.11259992606937885
3-Way Merge,50,RandomString,0.12860004790127277
Cycle,50,RandomString,0.2756998874247074
Timsort,50,RandomString,0.08039991371333599
Bubble,50,SortedString,0.12779980897903442
Insertion,50,SortedString,0.009800074622035027
Selection,50,SortedString,0.10609999299049377
Merge,50,SortedString,0.07779989391565323
Quick,50,SortedString,0.06550014950335026
Heap,50,SortedString,0.12010009959340096
3-Way Merge,50,SortedString,0.09860005229711533
Cycle,50,SortedString,0.11180015280842781
Timsort,50,SortedString,0.01019984483718872
Bubble,50,ReverseString,0.2226999495178461
Insertion,50,ReverseString,0.18900004215538502
Selection,50,ReverseString,0.11550006456673145
Merge,50,ReverseString,0.09200000204145908
Quick,50,ReverseString,0.06699981167912483
Heap,50,ReverseString,0.09809993207454681
3-Way Merge,50,ReverseString,0.10900013148784637
Cycle,50,ReverseString,0.18489989452064037
Timsort,50,ReverseString,0.01400010660290718
Bubble,100,Random,0.5797999911010265
Insertion,100,Random,0.2943999134004116
Selection,100,Random,0.2810000441968441
Merge,100,Random,0.20869984291493893
Quick,100,Random,0.18449989147484303
Heap,100,Random,0.2421000972390175
3-Way Merge,100,Random,0.2532999496906996
Cycle,100,Random,0.8390999864786863
Counting,100,Random,10.472900001332164
Radix,100,Random,0.1992001198232174
Timsort,100,Random,0.16629998572170734
Bubble,100,Sorted,0.35930005833506584
Insertion,100,Sorted,0.016399892047047615
Selection,100,Sorted,0.29259989969432354
Merge,100,Sorted,0.15970016829669476
Quick,100,Sorted,0.12569990940392017
Heap,100,Sorted,0.2498000394552946
3-Way Merge,100,Sorted,0.17959997057914734
Cycle,100,Sorted,0.251400051638484
Timsort,100,Sorted,0.015799887478351593
Bubble,100,Reverse,0.737000023946166
